,date,count,weekday
198,2018-08-11,42,Saturday
199,2016-10-14,41,Friday
200,2016-10-06,41,Thursday
201,2017-04-21,41,Friday
202,2016-09-16,41,Friday
203,2019-03-15,41,Friday
204,2018-05-21,41,Monday
205,2018-05-13,40,Sunday
206,2018-05-11,40,Friday
207,2016-09-14,40,Wednesday
208,2017-08-16,39,Wednesday
209,2018-03-14,39,Wednesday
210,2017-05-28,39,Sunday
211,2016-06-14,38,Tuesday
212,2017-05-10,38,Wednesday
213,2016-06-09,38,Thursday
214,2018-10-13,38,Saturday
215,2017-10-04,37,Wednesday
216,2017-03-08,37,Wednesday
217,2016-06-06,37,Monday
218,2018-05-30,37,Wednesday
219,2018-10-22,37,Monday
220,2016-12-12,37,Monday
221,2017-10-01,37,Sunday
222,2018-10-11,37,Thursday
223,2016-10-24,36,Monday
224,2016-08-31,36,Wednesday
225,2016-10-25,36,Tuesday
226,2016-08-22,36,Monday
227,2017-08-03,36,Thursday
228,2017-04-01,36,Saturday
229,2017-05-29,35,Monday
230,2019-02-23,35,Saturday
231,2016-11-16,35,Wednesday
232,2017-05-15,35,Monday
233,2016-07-26,35,Tuesday
234,2016-11-06,34,Sunday
235,2018-10-12,34,Friday
236,2017-01-11,34,Wednesday
237,2017-04-11,34,Tuesday
238,2017-07-25,34,Tuesday
239,2017-06-09,34,Friday
240,2017-03-26,34,Sunday
241,2017-09-14,33,Thursday
242,2016-10-17,33,Monday
243,2017-08-02,33,Wednesday
244,2018-04-27,33,Friday
245,2017-05-16,33,Tuesday
246,2018-04-26,33,Thursday
247,2017-05-31,33,Wednesday
248,2018-08-07,33,Tuesday
249,2017-04-19,32,Wednesday
250,2018-10-31,32,Wednesday
251,2018-05-14,32,Monday
252,2019-01-31,32,Thursday
253,2018-10-03,32,Wednesday
254,2016-09-29,32,Thursday
255,2018-09-11,32,Tuesday
256,2018-10-04,32,Thursday
257,2016-12-16,32,Friday
258,2018-04-17,32,Tuesday
259,2016-09-03,32,Saturday
260,2018-09-06,31,Thursday
261,2018-09-03,31,Monday
262,2017-08-31,31,Thursday
263,2017-08-17,31,Thursday
264,2017-10-03,31,Tuesday
265,2017-03-09,31,Thursday
266,2018-04-16,31,Monday
267,2018-03-13,31,Tuesday
268,2017-10-02,31,Monday
269,2018-08-27,30,Monday
270,2017-04-22,30,Saturday
271,2018-08-25,30,Saturday
272,2018-03-09,30,Friday
273,2018-08-20,30,Monday
274,2017-09-06,30,Wednesday
275,2017-05-07,30,Sunday
276,2018-10-06,30,Saturday
277,2016-11-28,29,Monday
278,2018-03-06,29,Tuesday
279,2017-07-19,29,Wednesday
280,2018-10-08,29,Monday
281,2016-09-17,29,Saturday
282,2017-10-23,29,Monday
283,2016-10-21,29,Friday
284,2017-03-21,29,Tuesday
285,2019-03-01,29,Friday
286,2019-02-14,29,Thursday
287,2018-03-27,29,Tuesday
288,2017-09-19,29,Tuesday
289,2018-03-08,28,Thursday
290,2016-08-06,28,Saturday
291,2016-08-26,28,Friday
292,2017-06-29,28,Thursday
293,2018-08-01,28,Wednesday
294,2016-11-15,28,Tuesday
295,2017-02-06,28,Monday
296,2017-09-11,27,Monday
297,2018-05-04,27,Friday
298,2017-05-13,27,Saturday
299,2017-08-24,27,Thursday
300,2016-05-28,26,Saturday
301,2018-10-01,26,Monday
302,2016-08-28,26,Sunday
303,2016-10-08,26,Saturday
304,2017-06-03,26,Saturday
305,2017-01-23,26,Monday
306,2016-10-09,26,Sunday
307,2018-03-07,26,Wednesday
308,2018-03-20,26,Tuesday
309,2017-06-12,26,Monday
310,2018-10-25,25,Thursday
311,2017-08-05,25,Saturday
312,2017-05-27,25,Saturday
313,2019-02-16,25,Saturday
314,2017-01-10,25,Tuesday
315,2018-08-28,25,Tuesday
316,2017-10-31,25,Tuesday
317,2017-07-04,25,Tuesday
318,2017-05-21,25,Sunday
319,2017-03-15,25,Wednesday
320,2018-04-09,25,Monday
321,2016-06-08,25,Wednesday
322,2019-03-24,25,Sunday
323,2017-07-30,25,Sunday
324,2017-09-02,24,Saturday
